date,nav
26-08-2016,37.985
25-08-2016,37.875
24-08-2016,38.028
23-08-2016,37.624
22-08-2016,37.689
19-08-2016,37.913
18-08-2016,37.747
17-08-2016,37.379
16-08-2016,37.165
12-08-2016,36.898
11-08-2016,36.828
10-08-2016,36.763
09-08-2016,37.124
08-08-2016,37.356
05-08-2016,36.997
04-08-2016,36.314
03-08-2016,36.109
02-08-2016,36.58
01-08-2016,36.827
29-07-2016,36.747
28-07-2016,36.541
27-07-2016,36.409
26-07-2016,36.079
25-07-2016,36.433
22-07-2016,36.112
21-07-2016,35.807
20-07-2016,35.904
19-07-2016,35.529
18-07-2016,35.428
15-07-2016,35.559
14-07-2016,35.673
13-07-2016,35.395
12-07-2016,35.48
11-07-2016,35.331
08-07-2016,35.03
07-07-2016,35.082
05-07-2016,35.099
04-07-2016,35.245
01-07-2016,35.1
30-06-2016,34.897
29-06-2016,34.568
28-06-2016,34.257
27-06-2016,34.088
24-06-2016,33.761
23-06-2016,34.039
22-06-2016,33.911
21-06-2016,33.95
20-06-2016,33.992
17-06-2016,34.008
16-06-2016,33.944
15-06-2016,34.19
14-06-2016,33.853
13-06-2016,33.739
10-06-2016,33.886
09-06-2016,34.026
08-06-2016,34.047
07-06-2016,33.871
06-06-2016,33.555
03-06-2016,33.536
02-06-2016,33.412
01-06-2016,33.116
31-05-2016,33.091
30-05-2016,33.126
27-05-2016,32.966
26-05-2016,32.724
25-05-2016,32.449
24-05-2016,31.919
23-05-2016,32.11
20-05-2016,32.204
19-05-2016,32.401
18-05-2016,32.625
17-05-2016,32.608
16-05-2016,32.562
13-05-2016,32.512
12-05-2016,32.56
11-05-2016,32.249
10-05-2016,32.139
09-05-2016,32.175
06-05-2016,31.827
05-05-2016,31.734
04-05-2016,31.745
03-05-2016,32.008
02-05-2016,32.092
29-04-2016,31.999
28-04-2016,31.999
27-04-2016,32.414
26-04-2016,32.341
25-04-2016,32.203
22-04-2016,32.27
21-04-2016,32.324
20-04-2016,32.146
18-04-2016,32.02
13-04-2016,31.652
12-04-2016,31.225
11-04-2016,30.845
08-04-2016,30.627
07-04-2016,30.546
06-04-2016,30.655
05-04-2016,30.519
04-04-2016,30.885
01-04-2016,30.814
31-03-2016,30.761
30-03-2016,30.596
29-03-2016,30.197
28-03-2016,30.224
23-03-2016,30.581
22-03-2016,30.647
21-03-2016,30.651
18-03-2016,30.399
17-03-2016,30.133
16-03-2016,29.93
15-03-2016,29.923
14-03-2016,30.084
11-03-2016,29.857
10-03-2016,29.838
09-03-2016,29.936
08-03-2016,29.973
04-03-2016,29.966
03-03-2016,29.778
02-03-2016,29.452
01-03-2016,28.913
29-02-2016,28.152
26-02-2016,27.976
25-02-2016,27.915
24-02-2016,28.244
23-02-2016,28.48
22-02-2016,28.764
19-02-2016,28.504
18-02-2016,28.542
17-02-2016,28.373
16-02-2016,28.242
15-02-2016,28.808
12-02-2016,28.009
11-02-2016,28.36
10-02-2016,29.302
09-02-2016,29.666
08-02-2016,29.985
05-02-2016,30.118
04-02-2016,29.792
03-02-2016,29.812
02-02-2016,30.258
01-02-2016,30.717
29-01-2016,30.687
28-01-2016,30.342
27-01-2016,30.431
25-01-2016,30.354
22-01-2016,30.25
21-01-2016,29.681
20-01-2016,29.566
19-01-2016,30.019
18-01-2016,29.738
15-01-2016,30.646
14-01-2016,31.256
13-01-2016,31.587
12-01-2016,31.628
11-01-2016,31.898
08-01-2016,32.164
07-01-2016,31.834
06-01-2016,32.594
05-01-2016,32.65
04-01-2016,32.52
01-01-2016,32.941
31-12-2015,32.782
30-12-2015,32.649
29-12-2015,32.624
28-12-2015,32.555
24-12-2015,32.479
23-12-2015,32.405
22-12-2015,32.198
21-12-2015,32.232
18-12-2015,31.969
17-12-2015,32.099
16-12-2015,31.596
15-12-2015,31.548
14-12-2015,31.376
11-12-2015,31.366
10-12-2015,31.518
09-12-2015,31.319
08-12-2015,31.835
07-12-2015,32.031
04-12-2015,31.972
03-12-2015,32.166
02-12-2015,32.435
01-12-2015,32.454
30-11-2015,32.307
27-11-2015,32.289
26-11-2015,32.117
24-11-2015,32.088
23-11-2015,32.081
20-11-2015,31.935
19-11-2015,31.784
18-11-2015,31.386
17-11-2015,31.513
16-11-2015,31.38
13-11-2015,31.217
10-11-2015,31.13
09-11-2015,31.466
06-11-2015,31.343
05-11-2015,31.465
04-11-2015,31.839
03-11-2015,31.923
02-11-2015,31.835
30-10-2015,31.82
29-10-2015,31.905
28-10-2015,32.089
27-10-2015,32.359
26-10-2015,32.335
23-10-2015,32.472
21-10-2015,32.58
20-10-2015,32.736
19-10-2015,32.667
16-10-2015,32.298
15-10-2015,31.966
14-10-2015,31.743
13-10-2015,31.734
12-10-2015,31.736
09-10-2015,31.619
08-10-2015,31.696
07-10-2015,31.907
06-10-2015,31.957
05-10-2015,31.88
01-10-2015,31.384
30-09-2015,31.387
29-09-2015,30.934
28-09-2015,30.881
24-09-2015,30.997
23-09-2015,30.841
22-09-2015,30.713
21-09-2015,31.16
18-09-2015,30.965
16-09-2015,30.661
15-09-2015,30.707
14-09-2015,30.724
11-09-2015,30.431
10-09-2015,30.362
09-09-2015,30.449
08-09-2015,29.858
07-09-2015,29.596
04-09-2015,30.132
03-09-2015,30.848
02-09-2015,30.5
01-09-2015,30.507
31-08-2015,31.182
28-08-2015,31.258
27-08-2015,31.207
26-08-2015,30.498
25-08-2015,30.597
24-08-2015,30.146
21-08-2015,32.601
20-08-2015,32.858
19-08-2015,33.354
18-08-2015,33.148
17-08-2015,33.072
14-08-2015,32.885
13-08-2015,32.136
12-08-2015,32.227
11-08-2015,32.958
10-08-2015,33.207
07-08-2015,33.282
06-08-2015,33.199
05-08-2015,33.261
04-08-2015,32.961
03-08-2015,32.789
31-07-2015,32.617
30-07-2015,32.367
29-07-2015,32.12
28-07-2015,31.89
27-07-2015,31.792
24-07-2015,32.176
23-07-2015,32.296
22-07-2015,32.183
21-07-2015,31.773
20-07-2015,32.26
17-07-2015,32.198
16-07-2015,32.132
15-07-2015,31.719
14-07-2015,31.659
13-07-2015,31.561
10-07-2015,31.189
09-07-2015,31.141
08-07-2015,31.213
07-07-2015,31.613
06-07-2015,31.469
03-07-2015,31.242
02-07-2015,31.287
